Ranking,Organization,Model,"Dataset Score (N=1,523)",Market Score (resolved) (N=190),Market Score (unresolved) (N=106),Market Score (overall) (N=296),"Overall Resolved Score (N=1,713)","Overall Score (N=1,819)",Overall Score 95% CI,Pairwise p-value comparing to No. 1 (bootstrapped),Pct. more accurate than No. 1,Pct. Imputed
1,ForecastBench,Superforecaster median forecast,0.093,0.06,0.062,0.061,0.077,0.077,[0.068 0.086],,0%,0%
2,ForecastBench,Public median forecast,0.122,0.089,0.038,0.071,0.106,0.096,[0.087 0.106],<0.001,24%,0%
3,OpenAI,GPT-4o (scratchpad with freeze values),0.183,0.105,0.046,0.084,0.144,0.133,[0.122 0.144],<0.001,24%,0%
4,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),0.162,0.14,0.045,0.106,0.151,0.134,[0.121 0.147],<0.001,24%,0%
5,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with freeze values),0.169,0.124,0.057,0.1,0.146,0.134,[0.122 0.146],<0.001,23%,0%
6,OpenAI,GPT-4o (scratchpad with news with freeze values),0.175,0.127,0.057,0.102,0.151,0.139,[0.127 0.15 ],<0.001,21%,0%
7,Google,Gemini-1.5-Pro (scratchpad with freeze values),0.156,0.157,0.076,0.128,0.157,0.142,[0.131 0.153],<0.001,21%,0%
8,Google,Gemini-1.5-Pro (scratchpad with news with freeze values),0.158,0.163,0.076,0.132,0.161,0.145,[0.134 0.156],<0.001,21%,1%
9,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with news with freeze values),0.165,0.154,0.083,0.129,0.159,0.147,[0.134 0.159],<0.001,20%,0%
10,OpenAI,GPT-4-Turbo-2024-04-09 (zero shot with freeze values),0.197,0.12,0.059,0.098,0.159,0.148,[0.135 0.16 ],<0.001,24%,0%
11,Google,Gemini-1.5-Pro (scratchpad),0.156,0.172,0.088,0.142,0.164,0.149,[0.139 0.159],<0.001,20%,1%
12,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),0.18,0.143,0.071,0.117,0.162,0.149,[0.135 0.163],<0.001,22%,0%
13,Anthropic,Claude-3-Opus-20240229 (zero shot with freeze values),0.176,0.157,0.061,0.123,0.166,0.149,[0.136 0.163],<0.001,22%,0%
14,Google,Gemini-1.5-Pro (scratchpad with news),0.158,0.165,0.1,0.142,0.161,0.15,[0.138 0.161],<0.001,20%,1%
15,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad),0.169,0.154,0.09,0.131,0.161,0.15,[0.14 0.16],<0.001,18%,0%
16,OpenAI,GPT-4o (scratchpad with news),0.175,0.143,0.096,0.126,0.159,0.151,[0.14  0.162],<0.001,19%,0%
17,Qwen,Qwen1.5-110B-Chat (scratchpad with freeze values),0.174,0.156,0.083,0.13,0.165,0.152,[0.141 0.163],<0.001,16%,1%
18,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad),0.162,0.165,0.099,0.142,0.164,0.152,[0.14  0.163],<0.001,20%,0%
19,OpenAI,GPT-4o (scratchpad),0.183,0.142,0.083,0.121,0.163,0.152,[0.142 0.162],<0.001,20%,1%
20,ForecastBench,Imputed Forecaster,0.25,0.069,0.038,0.058,0.16,0.154,[0.146 0.162],<0.001,23%,100%
21,OpenAI,GPT-4 (zero shot with freeze values),0.213,0.12,0.059,0.098,0.166,0.155,[0.143 0.167],<0.001,22%,0%
22,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with news),0.165,0.173,0.102,0.147,0.169,0.156,[0.144 0.168],<0.001,19%,0%
23,Google,Gemini-1.5-Pro (zero shot with freeze values),0.205,0.123,0.084,0.109,0.164,0.157,[0.144 0.17 ],<0.001,21%,17%
24,OpenAI,GPT-4 (scratchpad with freeze values),0.192,0.156,0.068,0.124,0.174,0.158,[0.145 0.171],<0.001,19%,1%
25,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 3),0.169,0.181,0.086,0.147,0.175,0.158,[0.146 0.17 ],<0.001,18%,2%
26,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) with news",0.24,0.095,0.051,0.079,0.167,0.159,[0.152 0.167],<0.001,19%,74%
27,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with news with freeze values),0.209,0.129,0.082,0.113,0.169,0.161,[0.149 0.173],<0.001,20%,0%
28,Anthropic,Claude-3-Opus-20240229 (scratchpad with freeze values),0.189,0.156,0.091,0.133,0.173,0.161,[0.15  0.173],<0.001,17%,0%
29,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) with news",0.241,0.098,0.051,0.081,0.169,0.161,[0.153 0.169],<0.001,19%,74%
30,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) with news",0.242,0.098,0.051,0.081,0.17,0.161,[0.153 0.169],<0.001,19%,74%
31,Mistral AI,Mistral-Large-Latest (scratchpad with freeze values),0.187,0.161,0.106,0.142,0.174,0.165,[0.154 0.175],<0.001,16%,0%
32,Google,Gemini-1.5-Pro (superforecaster with news 3),0.179,0.174,0.106,0.15,0.177,0.165,[0.153 0.176],<0.001,19%,1%
33,OpenAI,GPT-4 (scratchpad),0.192,0.169,0.085,0.139,0.18,0.165,[0.156 0.174],<0.001,15%,1%
34,Anthropic,Claude-2.1 (scratchpad),0.227,0.114,0.086,0.104,0.171,0.166,[0.156 0.175],<0.001,20%,26%
35,Google,Gemini-1.5-Flash (scratchpad with freeze values),0.179,0.18,0.105,0.153,0.179,0.166,[0.152 0.179],<0.001,19%,0%
36,Google,Gemini-1.5-Pro (zero shot),0.205,0.134,0.113,0.127,0.17,0.166,[0.153 0.179],<0.001,19%,17%
37,Qwen,Qwen1.5-110B-Chat (scratchpad),0.174,0.182,0.117,0.159,0.178,0.166,[0.157 0.176],<0.001,15%,0%
38,OpenAI,GPT-4-Turbo-2024-04-09 (zero shot),0.197,0.158,0.1,0.137,0.178,0.167,[0.155 0.18 ],<0.001,19%,1%
39,Meta,Llama-3-70b-Chat-Hf (zero shot with freeze values),0.204,0.163,0.073,0.131,0.184,0.167,[0.154 0.181],<0.001,19%,0%
