Ranking,Organization,Model,Dataset Score (N=316),Market Score (resolved) (N=21),Market Score (unresolved) (N=56),Market Score (overall) (N=77),Overall Resolved Score (N=337),Overall Score (N=393),Overall Score 95% CI,Pairwise p-value comparing to No. 1 (bootstrapped),Pct. more accurate than No. 1,Pct. Imputed
1,ForecastBench,Superforecaster median forecast,0.126,0.08,0.051,0.059,0.103,0.092,[0.073 0.112],,0%,0%
2,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),0.139,0.169,0.059,0.089,0.154,0.114,[0.092 0.136],0.001,31%,0%
3,ForecastBench,Public median forecast,0.156,0.116,0.055,0.072,0.136,0.114,[0.095 0.133],<0.001,24%,0%
4,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with news with freeze values),0.144,0.154,0.072,0.094,0.149,0.119,[0.098 0.141],<0.001,30%,0%
5,OpenAI,GPT-4 (zero shot with freeze values),0.164,0.123,0.062,0.079,0.144,0.121,[0.1   0.143],<0.001,32%,0%
6,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),0.145,0.193,0.064,0.099,0.169,0.122,[0.095 0.149],<0.001,32%,0%
7,OpenAI,GPT-4-Turbo-2024-04-09 (zero shot with freeze values),0.17,0.123,0.06,0.077,0.147,0.124,[0.102 0.145],<0.001,33%,0%
8,OpenAI,GPT-4o (scratchpad with news with freeze values),0.168,0.096,0.077,0.082,0.132,0.125,[0.107 0.144],<0.001,26%,0%
9,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad),0.139,0.235,0.068,0.113,0.187,0.126,[0.104 0.148],<0.001,29%,0%
10,OpenAI,GPT-4o (scratchpad with freeze values),0.163,0.164,0.066,0.093,0.164,0.128,[0.108 0.148],<0.001,27%,0%
11,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with news),0.144,0.18,0.092,0.116,0.162,0.13,[0.109 0.151],<0.001,26%,0%
12,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 3),0.159,0.151,0.085,0.103,0.155,0.131,[0.112 0.15 ],<0.001,25%,3%
13,Mistral AI,Mistral-Large-Latest (zero shot with freeze values),0.17,0.191,0.061,0.096,0.18,0.133,[0.11  0.156],<0.001,24%,0%
14,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 1),0.153,0.172,0.09,0.113,0.163,0.133,[0.112 0.154],<0.001,26%,0%
15,OpenAI,GPT-4o (scratchpad),0.163,0.171,0.078,0.103,0.167,0.133,[0.116 0.15 ],<0.001,25%,0%
16,Anthropic,Claude-3-Opus-20240229 (scratchpad with freeze values),0.163,0.158,0.085,0.105,0.161,0.134,[0.116 0.152],<0.001,24%,0%
17,Anthropic,Claude-3-Opus-20240229 (zero shot with freeze values),0.173,0.174,0.065,0.095,0.174,0.134,[0.11  0.158],<0.001,26%,0%
18,Mistral AI,Mistral-Large-Latest (scratchpad with freeze values),0.161,0.154,0.093,0.109,0.157,0.135,[0.118 0.152],<0.001,23%,0%
19,OpenAI,GPT-4o (scratchpad with news),0.168,0.164,0.085,0.107,0.166,0.137,[0.117 0.158],<0.001,22%,0%
20,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with freeze values),0.179,0.143,0.089,0.104,0.161,0.141,[0.119 0.163],<0.001,27%,0%
21,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot),0.145,0.28,0.085,0.138,0.212,0.141,[0.115 0.168],<0.001,24%,0%
