Rank,Team,Model Organization,Model,Dataset,N dataset,Dataset 95% CI,Market,N market,Market 95% CI,Overall,N,Overall 95% CI,Supers > Forecaster?,p-val Supers > Forecaster?,Forecaster > Public?,p-val Forecaster > Public?,Pct times № 1,Pct times top 5%,Peer,BSS,Brier Dataset,Brier Market,Brier Overall
1,ForecastBench,ForecastBench,Superforecaster median forecast,63.8,521,"[62.6, 65.0]",74.3,56,"[66.8, 85.1]",68.6,577,"[65.2, 72.5]",—,—,Yes,<0.001,100.0,100.0,0.117,0.091,0.131,0.066,0.099
2,ForecastBench,ForecastBench,Public median forecast,59.3,521,"[57.8, 61.0]",67.8,56,"[62.2, 74.5]",63.3,577,"[60.6, 66.1]",Yes,<0.001,—,—,0.0,82.891,0.081,0.055,0.166,0.104,0.135
3,ForecastBench,OpenAI,o3-2025-04-16-scratchpad,60.4,1472,"[59.8, 61.1]",64.6,93,"[61.9, 67.3]",62.4,1565,"[61.1, 63.8]",Yes,<0.001,No,0.71,0.0,82.841,0.055,0.034,0.157,0.126,0.141
4,ForecastBench,Anthropic,claude-opus-4-1-20250805,60.2,10747,"[59.9, 60.6]",63.6,1278,"[62.2, 64.9]",61.9,12025,"[61.2, 62.5]",Yes,<0.001,No,0.83,0.0,49.175,0.054,0.021,0.158,0.133,0.145
4,ForecastBench,Anthropic,claude-sonnet-4-5-20250929-1024,60.1,10595,"[59.8, 60.4]",63.8,1376,"[62.4, 65.2]",61.9,11971,"[61.2, 62.5]",Yes,<0.001,No,0.83,0.0,47.324,0.053,0.019,0.16,0.131,0.145
6,ForecastBench,Anthropic,claude-opus-4-1-20250805-scratchpad,59.8,1128,"[59.2, 60.5]",63.8,88,"[61.5, 66.2]",61.8,1216,"[60.6, 63.0]",Yes,<0.001,No,0.84,0.0,40.17,0.06,0.028,0.161,0.131,0.146
6,ForecastBench,xAI,grok-4.20-beta-0309-reasoning,59.7,638,"[59.3, 60.3]",64.0,118,"[59.7, 68.5]",61.8,756,"[59.7, 63.9]",Yes,<0.001,No,0.81,0.0,47.724,0.043,-0.011,0.162,0.13,0.146
8,ForecastBench,OpenAI,o4-mini-2025-04-16-scratchpad,60.5,5106,"[60.1, 60.9]",62.7,382,"[60.9, 64.4]",61.6,5488,"[60.7, 62.4]",Yes,<0.001,No,0.87,0.0,19.56,0.066,0.033,0.156,0.139,0.148
9,ForecastBench,Anthropic,claude-3-7-sonnet-20250219-scratchpad,60.2,10094,"[59.9, 60.5]",62.8,654,"[61.8, 63.9]",61.5,10748,"[61.0, 62.0]",Yes,<0.001,No,0.89,0.0,6.103,0.059,0.038,0.158,0.138,0.148
9,ForecastBench,OpenAI,o4-mini-2025-04-16,60.7,5106,"[60.3, 61.1]",62.3,382,"[60.5, 64.1]",61.5,5488,"[60.6, 62.4]",Yes,<0.001,No,0.88,0.0,15.558,0.066,0.033,0.154,0.142,0.148
9,ForecastBench,OpenAI,gpt-4.5-preview-2025-02-27,59.8,2884,"[59.5, 60.2]",63.2,192,"[61.2, 65.2]",61.5,3076,"[60.5, 62.4]",Yes,<0.001,No,0.88,0.0,20.66,0.07,0.035,0.161,0.135,0.148
12,ForecastBench,OpenAI,o3-2025-04-16,60.4,7110,"[60.1, 60.7]",62.5,686,"[61.0, 64.0]",61.4,7796,"[60.7, 62.2]",Yes,<0.001,No,0.90,0.0,3.252,0.052,0.021,0.157,0.141,0.149
13,ForecastBench,OpenAI,gpt-5-2025-08-07,61.3,3028,"[60.8, 61.7]",61.4,304,"[59.3, 63.4]",61.3,3332,"[60.3, 62.3]",Yes,<0.001,No,0.91,0.0,8.854,0.054,0.019,0.15,0.149,0.149
14,ForecastBench,Google DeepMind,gemini-3-pro-preview,60.8,6641,"[60.5, 61.1]",61.6,667,"[60.0, 63.5]",61.2,7308,"[60.4, 62.1]",Yes,<0.001,No,0.92,0.0,3.502,0.051,0.021,0.154,0.147,0.15
14,ForecastBench,OpenAI,gpt-4.1-2025-04-14-scratchpad,60.4,6578,"[59.8, 60.8]",62.1,475,"[60.4, 63.7]",61.2,7053,"[60.4, 62.0]",Yes,<0.001,No,0.92,0.0,1.801,0.06,0.029,0.157,0.144,0.151
14,ForecastBench,Google DeepMind,gemini-2.5-pro-preview-03-25,61.0,1472,"[60.3, 61.6]",61.4,93,"[57.8, 65.2]",61.2,1565,"[59.3, 63.1]",Yes,<0.001,No,0.88,0.0,23.562,0.045,0.025,0.152,0.149,0.151
14,ForecastBench,Z.ai,glm-5,59.8,727,"[59.1, 60.6]",62.6,138,"[59.3, 65.9]",61.2,865,"[59.5, 62.8]",Yes,<0.001,No,0.91,0.0,18.259,0.049,0.022,0.161,0.14,0.151
18,ForecastBench,OpenAI,gpt-5-mini-2025-08-07,60.2,12449,"[60.0, 60.6]",62.0,1518,"[60.7, 63.4]",61.1,13967,"[60.5, 61.8]",Yes,<0.001,No,0.94,0.0,0.0,0.048,0.015,0.158,0.145,0.151
19,ForecastBench,Anthropic,claude-haiku-4-5-20251001-1024,59.0,11321,"[58.6, 59.3]",63.2,1430,"[61.9, 64.6]",61.0,12751,"[60.4, 61.7]",Yes,<0.001,No,0.95,0.0,0.0,0.047,0.014,0.168,0.135,0.152
19,ForecastBench,xAI,grok-4-1-fast-reasoning,60.2,8929,"[59.9, 60.5]",61.8,1124,"[60.3, 63.3]",61.0,10053,"[60.2, 61.8]",Yes,<0.001,No,0.95,0.0,0.1,0.046,0.014,0.158,0.146,0.152
21,ForecastBench,OpenAI,gpt-4.5-preview-2025-02-27-scratchpad,61.1,2884,"[60.7, 61.6]",60.7,192,"[59.0, 62.4]",60.9,3076,"[60.0, 61.8]",Yes,<0.001,No,0.96,0.0,1.251,0.065,0.031,0.151,0.155,0.153
21,ForecastBench,Anthropic,claude-opus-4-20250514-scratchpad,60.5,1141,"[59.8, 61.3]",61.2,95,"[58.3, 64.1]",60.9,1236,"[59.4, 62.3]",Yes,<0.001,No,0.94,0.0,6.553,0.072,0.021,0.156,0.151,0.153
23,ForecastBench,xAI,grok-4-0709,60.2,6368,"[59.8, 60.6]",61.5,653,"[60.2, 63.0]",60.8,7021,"[60.1, 61.6]",Yes,<0.001,No,0.96,0.0,0.1,0.048,0.017,0.159,0.148,0.153
23,ForecastBench,Anthropic,claude-opus-4-5-20251101,60.1,3510,"[59.7, 60.5]",61.4,325,"[59.4, 63.4]",60.8,3835,"[59.8, 61.8]",Yes,<0.001,No,0.96,0.0,0.8,0.047,0.018,0.159,0.149,0.154
25,ForecastBench,xAI,grok-beta,58.4,2888,"[58.0, 58.8]",62.9,182,"[61.1, 64.8]",60.6,3070,"[59.7, 61.5]",Yes,<0.001,No,0.97,0.0,0.25,0.053,0.036,0.173,0.138,0.155
25,ForecastBench,Google DeepMind,gemini-2.5-flash-preview-04-17,60.2,1472,"[59.3, 61.1]",61.0,93,"[57.2, 65.1]",60.6,1565,"[58.6, 62.6]",Yes,<0.001,No,0.94,0.0,9.305,0.041,0.02,0.159,0.152,0.155
25,ForecastBench,xAI,grok-4.3,60.1,492,"[59.4, 60.8]",61.0,90,"[57.4, 65.3]",60.6,582,"[58.7, 62.7]",Yes,<0.001,No,0.94,0.0,9.355,0.043,0.008,0.159,0.152,0.155
28,ForecastBench,Anthropic,claude-3-5-sonnet-20241022-scratchpad,58.6,10094,"[58.4, 58.9]",62.4,654,"[61.2, 63.6]",60.5,10748,"[59.9, 61.0]",Yes,<0.001,No,0.98,0.0,0.0,0.051,0.03,0.171,0.142,0.156
29,ForecastBench,Google DeepMind,gemini-2.5-pro,59.9,11957,"[59.6, 60.2]",60.9,1428,"[59.4, 62.4]",60.4,13385,"[59.7, 61.2]",Yes,<0.001,No,0.98,0.0,0.0,0.043,0.01,0.161,0.153,0.157
29,ForecastBench,xAI,grok-4-fast-reasoning,60.3,9268,"[60.0, 60.6]",60.6,1021,"[59.2, 61.9]",60.4,10289,"[59.7, 61.1]",Yes,<0.001,No,0.98,0.0,0.0,0.044,0.014,0.158,0.155,0.157
31,ForecastBench,OpenAI,gpt-5.2-2025-12-11,59.7,5683,"[59.3, 60.1]",60.8,837,"[59.3, 62.5]",60.3,6520,"[59.5, 61.1]",Yes,<0.001,No,0.99,0.0,0.0,0.04,0.007,0.162,0.154,0.158
31,ForecastBench,Anthropic,claude-sonnet-4-20250514,59.0,5438,"[58.6, 59.4]",61.7,525,"[60.4, 63.1]",60.3,5963,"[59.7, 61.0]",Yes,<0.001,No,0.98,0.0,0.0,0.047,0.016,0.168,0.146,0.157
31,ForecastBench,Anthropic,claude-opus-4-6-1024,59.9,3735,"[59.5, 60.3]",60.7,633,"[58.6, 62.7]",60.3,4368,"[59.3, 61.3]",Yes,<0.001,No,0.98,0.0,0.0,0.038,0.006,0.161,0.155,0.158
34,ForecastBench,Anthropic,claude-sonnet-4-6-1024,60.0,3501,"[59.7, 60.4]",60.1,668,"[58.1, 62.2]",60.1,4169,"[59.1, 61.1]",Yes,<0.001,No,0.98,0.0,0.0,0.036,0.002,0.16,0.159,0.159
35,ForecastBench,Google DeepMind,gemini-2.5-flash-preview-04-17-scratchpad,60.4,1472,"[59.5, 61.3]",59.6,93,"[56.5, 63.0]",60.0,1565,"[58.3, 61.7]",Yes,<0.001,No,0.98,0.0,0.75,0.036,0.016,0.157,0.163,0.16
35,ForecastBench,Moonshot AI,kimi-k2-instruct-scratchpad,58.5,1115,"[57.6, 59.4]",61.5,100,"[58.7, 64.3]",60.0,1215,"[58.5, 61.3]",Yes,<0.001,No,0.99,0.0,0.1,0.071,0.01,0.172,0.148,0.16
37,ForecastBench,Google DeepMind,gemini-3.1-pro-preview,60.4,3501,"[60.1, 60.8]",59.2,668,"[57.2, 61.3]",59.8,4169,"[58.8, 60.9]",Yes,<0.001,No,0.99,0.0,0.0,0.034,-0.0,0.157,0.166,0.161
38,ForecastBench,ForecastBench,Imputed Forecaster,50.0,29017,"[50.0, 50.0]",72.6,2685,"[71.6, 73.7]",59.7,31702,"[59.3, 60.0]",Yes,<0.001,No,1.00,0.0,0.0,0.045,0.01,0.25,0.075,0.162
38,ForecastBench,DeepSeek,deepseek-r1-scratchpad,58.9,5803,"[58.5, 59.2]",60.6,367,"[59.3, 61.8]",59.7,6170,"[59.1, 60.3]",Yes,<0.001,No,1.00,0.0,0.0,0.044,0.024,0.169,0.155,0.162
40,ForecastBench,Moonshot AI,kimi-k2-instruct-0905,58.8,7820,"[58.5, 59.2]",60.4,762,"[58.9, 61.8]",59.6,8582,"[58.9, 60.3]",Yes,<0.001,No,1.00,0.0,0.0,0.039,0.009,0.17,0.157,0.163
40,ForecastBench,Qwen,qwen3-235b-a22b-fp8-tput,59.7,5669,"[59.3, 60.1]",59.6,571,"[58.1, 61.0]",59.6,6240,"[58.9, 60.4]",Yes,<0.001,No,0.99,0.0,0.0,0.039,0.009,0.162,0.164,0.163
40,ForecastBench,Meta,meta-llama-3.1-405b-instruct-turbo,57.8,2850,"[57.3, 58.2]",61.6,187,"[60.0, 63.4]",59.6,3037,"[58.8, 60.5]",Yes,<0.001,No,1.00,0.0,0.0,0.039,0.026,0.178,0.147,0.163
43,ForecastBench,Qwen,qwen3-235b-a22b-fp8-tput-scratchpad,58.4,7927,"[58.1, 58.8]",60.5,572,"[59.4, 61.7]",59.5,8499,"[58.8, 60.1]",Yes,<0.001,No,1.00,0.0,0.0,0.051,0.013,0.173,0.156,0.164
44,ForecastBench,Anthropic,claude-3-5-sonnet-20241022,58.6,10094,"[58.3, 58.8]",60.3,654,"[58.9, 61.7]",59.4,10748,"[58.7, 60.1]",Yes,<0.001,No,1.00,0.0,0.0,0.043,0.022,0.172,0.158,0.165
44,ForecastBench,Google DeepMind,gemini-3-flash-preview,59.8,5683,"[59.4, 60.2]",58.9,837,"[57.0, 60.9]",59.4,6520,"[58.4, 60.3]",Yes,<0.001,No,1.00,0.0,0.0,0.032,-0.001,0.162,0.169,0.165
46,ForecastBench,OpenAI,gpt-4.1-2025-04-14,58.7,18535,"[58.5, 59.1]",59.9,1903,"[58.5, 61.3]",59.3,20438,"[58.6, 60.0]",Yes,<0.001,No,1.00,0.0,0.0,0.037,0.005,0.17,0.16,0.165
