Ranking,Organization,Model,"Dataset Score (N=4,107)",Market Score (resolved) (N=135),Market Score (unresolved) (N=772),Market Score (overall) (N=907),"Overall Resolved Score (N=4,242)","Overall Score (N=5,014)",Overall Score 95% CI,Pairwise p-value comparing to No. 1 (bootstrapped),Pct. more accurate than No. 1,Pct. Imputed
1,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),0.17,0.119,0.048,0.059,0.145,0.115,[0.109 0.12 ],,0%,0%
2,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with freeze values),0.171,0.119,0.052,0.062,0.145,0.116,[0.111 0.122],0.176,42%,0%
3,OpenAI,GPT-4o (scratchpad with freeze values),0.191,0.104,0.042,0.051,0.148,0.121,[0.116 0.127],<0.001,42%,0%
4,Google,Gemini-1.5-Pro (scratchpad with freeze values),0.162,0.139,0.077,0.086,0.151,0.124,[0.119 0.13 ],<0.001,35%,0%
5,OpenAI,GPT-4o (scratchpad with news with freeze values),0.192,0.114,0.054,0.063,0.153,0.127,[0.122 0.133],<0.001,39%,0%
6,Google,Gemini-1.5-Pro (scratchpad with news with freeze values),0.167,0.135,0.084,0.091,0.151,0.129,[0.124 0.135],<0.001,34%,0%
7,Anthropic,Claude-3-Opus-20240229 (zero shot with freeze values),0.19,0.112,0.066,0.073,0.151,0.131,[0.125 0.137],<0.001,41%,0%
8,Qwen,Qwen1.5-110B-Chat (scratchpad with freeze values),0.176,0.125,0.083,0.089,0.151,0.133,[0.127 0.138],<0.001,30%,0%
9,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad),0.171,0.159,0.083,0.095,0.165,0.133,[0.128 0.138],<0.001,31%,0%
10,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with news with freeze values),0.187,0.119,0.073,0.08,0.153,0.133,[0.128 0.139],<0.001,31%,0%
11,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad),0.17,0.168,0.086,0.099,0.169,0.134,[0.129 0.14 ],<0.001,9%,0%
12,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),0.195,0.108,0.068,0.074,0.151,0.135,[0.128 0.141],<0.001,42%,0%
13,Google,Gemini-1.5-Pro (scratchpad),0.162,0.169,0.098,0.109,0.166,0.136,[0.13  0.141],<0.001,32%,0%
14,OpenAI,GPT-4-Turbo-2024-04-09 (zero shot with freeze values),0.206,0.106,0.058,0.065,0.156,0.136,[0.129 0.142],<0.001,41%,0%
15,Google,Gemini-1.5-Pro (scratchpad with news),0.167,0.162,0.097,0.106,0.164,0.137,[0.131 0.142],<0.001,32%,0%
16,OpenAI,GPT-4 (scratchpad with freeze values),0.196,0.13,0.072,0.08,0.163,0.138,[0.132 0.144],<0.001,36%,0%
17,ForecastBench,Imputed Forecaster,0.25,0.043,0.029,0.031,0.146,0.14,[0.137 0.143],<0.001,47%,100%
