Rank,Team,Model Organization,Model,Dataset,N dataset,Dataset 95% CI,Supers > Forecaster?,p-val Supers > Forecaster?,Forecaster > Public?,p-val Forecaster > Public?,Pct times № 1,Pct times top 5%,Peer,BSS
1,Torchcast AI,Torchcast AI,rice-demon,67.4,239,"[65.2, 69.7]",No,1.00,Yes,<0.001,58.129,100.0,0.072,0.157
2,Torchcast AI,Torchcast AI,captain-jack,67.3,239,"[65.0, 69.6]",No,1.00,Yes,<0.001,10.505,100.0,0.071,0.156
2,Torchcast AI,Torchcast AI,dragon-brother,67.3,239,"[65.1, 69.5]",No,1.00,Yes,<0.001,8.154,100.0,0.071,0.157
4,Google DeepMind,Google DeepMind,steel-feather,65.8,393,"[63.6, 68.1]",No,0.98,Yes,<0.001,12.606,86.743,0.068,0.158
5,DeepMind,Google DeepMind,silver-anchor,65.6,239,"[63.0, 68.2]",No,0.96,Yes,<0.001,4.952,88.344,0.059,0.145
6,Voicetree,Voicetree,voicetree-axiom-2,65.4,239,"[63.8, 67.3]",No,0.99,Yes,<0.001,0.6,96.148,0.058,0.144
7,DeepMind,Google DeepMind,ceramic-kettle,65.1,239,"[62.7, 67.8]",No,0.92,Yes,<0.001,0.95,76.988,0.056,0.142
8,Google DeepMind,Google DeepMind,blue croc,65.0,239,"[62.7, 67.4]",No,0.92,Yes,<0.001,0.05,79.59,0.055,0.141
8,Voicetree,Voicetree,voicetree-axiom-0,65.0,239,"[63.4, 66.8]",No,0.97,Yes,<0.001,0.0,83.292,0.055,0.141
10,Google DeepMind,Google DeepMind,big green leaf,64.9,239,"[62.6, 67.3]",No,0.91,Yes,<0.001,0.1,72.836,0.055,0.14
11,Google DeepMind,Google DeepMind,brass-apple,64.8,393,"[62.3, 67.5]",No,0.89,Yes,<0.001,3.752,64.082,0.061,0.151
11,Google DeepMind,Google DeepMind,fire hedgehog,64.8,239,"[62.4, 67.3]",No,0.90,Yes,<0.001,0.1,66.033,0.054,0.14
13,Voicetree,Voicetree,voicetree-axiom-1,64.7,239,"[63.1, 66.5]",No,0.94,Yes,<0.001,0.0,62.531,0.053,0.139
14,Google DeepMind,Google DeepMind,green tree,64.5,727,"[63.5, 65.6]",No,0.96,Yes,<0.001,0.1,56.078,0.062,0.142
15,FutureSearch,FutureSearch,fb_early_closer_v2,64.2,239,"[62.5, 66.3]",No,0.85,Yes,<0.001,0.0,43.622,0.05,0.136
15,FutureSearch,FutureSearch,fb_forecaster_v2,64.2,239,"[62.5, 66.3]",No,0.85,Yes,<0.001,0.0,43.622,0.05,0.136
17,FutureSearch,FutureSearch,FB_forecaster,63.7,393,"[61.9, 65.4]",No,0.71,Yes,<0.001,0.0,24.162,0.053,0.143
17,FutureSearch,FutureSearch,fb_early_closer,63.7,393,"[61.9, 65.4]",No,0.71,Yes,<0.001,0.0,24.162,0.053,0.143
19,Google DeepMind,Google DeepMind,Gemini,63.4,877,"[61.8, 64.9]",No,0.62,Yes,<0.001,0.0,12.956,0.052,0.136
20,Google DeepMind,Google DeepMind,yellow mouse,63.1,727,"[62.2, 64.1]",No,0.51,Yes,<0.001,0.0,3.302,0.052,0.132
20,ForecastBench,ForecastBench,Superforecaster median forecast,63.1,521,"[61.8, 64.4]",—,—,Yes,<0.001,0.0,6.003,0.09,0.158
20,DeepMind,Google DeepMind,iron-compass,63.1,239,"[60.3, 66.0]",No,0.52,Yes,<0.01,0.0,13.457,0.042,0.128
23,xAI,xAI,"Grok 4.20 (Beta, D)",62.6,439,"[61.3, 63.9]",No,0.31,Yes,<0.001,0.0,1.501,0.048,0.184
24,xAI,xAI,"Grok 4.20 (Beta, C)",62.5,439,"[61.2, 63.8]",No,0.28,Yes,<0.01,0.0,1.101,0.048,0.183
25,Google DeepMind,Google DeepMind,green-plant,62.4,726,"[61.3, 63.5]",No,0.21,Yes,<0.001,0.0,0.25,0.047,0.146
25,Google DeepMind,Google DeepMind,glass-lantern,62.4,393,"[60.0, 65.0]",No,0.33,Yes,<0.01,0.0,5.403,0.043,0.134
27,xAI,xAI,Grok 4.20 (Preview),62.2,970,"[61.5, 63.0]",No,0.12,Yes,<0.001,0.0,0.0,0.043,0.097
28,Cassi-AI,Cassi-AI,Cassi-2026-05-10,62.1,492,"[61.2, 62.9]",No,0.10,Yes,<0.001,0.0,0.0,0.045,0.151
29,Google DeepMind,Google DeepMind,blue-turtle,61.9,726,"[61.0, 62.8]",Likely,0.07,Yes,<0.001,0.0,0.0,0.043,0.142
30,Cassi-AI,Cassi-AI,Cassi ensemble_2,61.5,1900,"[61.0, 62.1]",Likely,0.02,Yes,<0.001,0.0,0.0,0.038,0.107
30,Cassi-AI,Cassi-AI,Cassi ensemble_2_crowdadj,61.5,1900,"[61.0, 62.1]",Likely,0.02,Yes,<0.001,0.0,0.0,0.038,0.107
30,xAI,xAI,"Grok 4.20 (Beta, A)",61.5,491,"[60.7, 62.4]",Likely,0.02,Yes,<0.01,0.0,0.0,0.04,0.103
33,sirbayes,sirbayes,open-flash-med-search05-tools11-data,61.4,491,"[60.6, 62.3]",Likely,0.02,Yes,<0.01,0.0,0.0,0.04,0.102
34,ForecastBench,OpenAI,GPT-5-2025-08-07 (zero shot with crowd forecast),61.3,3028,"[60.9, 61.8]",Yes,<0.01,Yes,<0.01,0.0,0.0,0.041,0.109
35,limeforecast,limeforecast,megaflash,61.2,484,"[59.5, 62.9]",Likely,0.04,Likely,0.02,0.0,0.15,0.036,0.115
36,Google DeepMind,Google DeepMind,plastic-cactus,61.1,492,"[59.1, 63.3]",Likely,0.07,Likely,0.04,0.0,0.4,0.038,0.144
36,xAI,xAI,"Grok 4.20 (Beta, B)",61.1,491,"[60.5, 62.0]",Yes,<0.01,Yes,<0.01,0.0,0.0,0.038,0.1
38,ForecastBench,OpenAI,GPT-4.5-Preview-2025-02-27 (scratchpad with crowd forecast),61.0,2884,"[60.6, 61.4]",Yes,<0.01,Yes,<0.01,0.0,0.0,0.051,0.119
38,Anonymous 1,Anonymous 1,capella,61.0,970,"[60.2, 61.7]",Yes,<0.01,Likely,0.01,0.0,0.0,0.034,0.088
38,Lightning Rod Labs,Lightning Rod Labs,Foresight-32B,61.0,930,"[60.1, 61.9]",Yes,<0.01,Yes,<0.01,0.0,0.0,0.033,0.119
41,ForecastBench,Google,Gemini-2.5-Pro-Preview-03-25 (zero shot with crowd forecast),60.9,1472,"[60.2, 61.6]",Yes,<0.01,Yes,<0.01,0.0,0.0,0.042,0.11
41,Google DeepMind,Google DeepMind,red-lizard,60.9,726,"[60.1, 61.9]",Yes,<0.01,Yes,<0.01,0.0,0.0,0.036,0.135
43,ForecastBench,Google,Gemini-3-Pro-Preview (zero shot with crowd forecast),60.8,6460,"[60.5, 61.2]",Yes,<0.01,Yes,<0.01,0.0,0.0,0.036,0.111
44,ForecastBench,OpenAI,O4-Mini-2025-04-16 (zero shot with crowd forecast),60.7,5106,"[60.2, 61.1]",Yes,<0.01,Yes,<0.01,0.0,0.0,0.052,0.117
45,Anonymous 1,Anonymous 1,Ensemble,60.6,3529,"[60.1, 61.1]",Yes,<0.01,Likely,0.01,0.0,0.0,0.032,0.106
45,ForecastBench,Anthropic,Claude-Opus-4-20250514 (scratchpad with crowd forecast),60.6,1141,"[59.9, 61.3]",Yes,<0.01,Likely,0.02,0.0,0.0,0.058,0.113
45,LightningRodLabs,LightningRodLabs,foresight-v3-05-2026,60.6,885,"[59.9, 61.4]",Yes,<0.01,Likely,0.01,0.0,0.0,0.032,0.131
48,ForecastBench,OpenAI,O4-Mini-2025-04-16 (scratchpad with crowd forecast),60.5,5106,"[60.1, 60.9]",Yes,<0.01,Likely,0.02,0.0,0.0,0.05,0.116
48,Artificial Judgement,Artificial Judgement,aj-v1,60.5,1608,"[60.1, 61.0]",Yes,<0.01,Likely,0.01,0.0,0.0,0.03,0.121
50,ForecastBench,OpenAI,O3-2025-04-16 (zero shot with crowd forecast),60.4,6929,"[60.1, 60.8]",Yes,<0.001,Likely,0.02,0.0,0.0,0.033,0.1
50,ForecastBench,Google,Gemini-3.1-Pro-Preview (zero shot with crowd forecast),60.4,3986,"[60.0, 60.7]",Yes,<0.01,Likely,0.02,0.0,0.0,0.031,0.123
50,Mantic,Mantic,mantic-2026-01-16,60.4,2182,"[59.8, 61.1]",Yes,<0.001,Likely,0.03,0.0,0.0,0.034,0.115
50,Anonymous 1,Anonymous 1,orion,60.4,1679,"[59.6, 61.1]",Yes,<0.01,Likely,0.03,0.0,0.0,0.032,0.102
50,Anonymous 1,Anonymous 1,orcas,60.4,1641,"[59.3, 61.4]",Yes,<0.01,Likely,0.04,0.0,0.0,0.031,0.096
50,ForecastBench,OpenAI,O3-2025-04-16 (scratchpad with crowd forecast),60.4,1472,"[59.7, 61.0]",Yes,<0.001,Likely,0.02,0.0,0.0,0.038,0.106
50,ForecastBench,Anthropic,Claude-Opus-4-7 (zero shot with crowd forecast),60.4,632,"[59.7, 61.1]",Yes,<0.01,Likely,0.03,0.0,0.0,0.025,0.114
50,ForecastBench,xAI,Grok-4.20-0309-Reasoning (zero shot with crowd forecast),60.4,239,"[59.7, 61.1]",Yes,<0.001,Likely,0.03,0.0,0.0,0.021,0.107
58,ForecastBench,OpenAI,GPT-5-Mini-2025-08-07 (zero shot with crowd forecast),60.3,12753,"[60.0, 60.5]",Yes,<0.001,Likely,0.02,0.0,0.0,0.031,0.109
58,ForecastBench,Anthropic,Claude-Opus-4-1-20250805 (zero shot with crowd forecast),60.3,10419,"[60.0, 60.6]",Yes,<0.001,Likely,0.03,0.0,0.0,0.031,0.106
58,ForecastBench,xAI,Grok-4-Fast-Reasoning (zero shot with crowd forecast),60.3,9087,"[60.0, 60.7]",Yes,<0.001,Likely,0.02,0.0,0.0,0.031,0.106
58,ForecastBench,OpenAI,GPT-4.1-2025-04-14 (scratchpad with crowd forecast),60.3,6578,"[59.8, 60.8]",Yes,<0.001,Likely,0.03,0.0,0.0,0.046,0.113
58,ForecastBench,Google,Gemini-2.5-Flash-Preview-04-17 (scratchpad with crowd forecast),60.3,1472,"[59.5, 61.2]",Yes,<0.001,Likely,0.03,0.0,0.0,0.038,0.106
